season	baker	episode	tech_mean	tech	mean_star	star	mean_good	good	mean_bad	bad
13	Syabira	5	5.2	8	0.0	0	0.6	0	0.2	1
13	Syabira	6	4.5	1	0.17	1	0.67	1	0.17	0
13	Syabira	7	4.71	6	0.29	1	0.71	1	0.14	0
13	Syabira	8	4.13	0	0.38	1	0.75	1	0.13	0
13	Will	1	9.0	9	0.0	0	0.0	0	1.0	1
13	Will	2	4.5	0	0.0	0	0.0	0	0.5	0
13	Will	3	3.0	0	0.0	0	0.0	0	0.33	0
13	Will	4	2.25	0	0.0	0	0.0	0	0.25	0
13	Will	5	1.8	0	0.0	0	0.0	0	0.2	0
13	Will	6	1.5	0	0.0	0	0.0	0	0.17	0
13	Will	7	1.29	0	0.0	0	0.0	0	0.14	0
13	Will	8	1.13	0	0.0	0	0.0	0	0.13	0
