baker	key	season	place	deepbake_tier	deepbake_prediction	week_eliminated	deepbake_eliminated
Abdul	0	13	0	0	0	0	0
Carole	1	13	0	0	0	0	0
Dawn	2	13	0	0	0	0	0
James	3	13	0	0	0	0	0
Janusz	4	13	0	0	0	0	0
Kevin	5	13	0	0	0	0	0
Maxy	6	13	0	0	0	0	0
Rebs	7	13	0	0	0	0	0
Sandro	8	13	0	0	0	0	0
Syabira	9	13	0	0	0	0	0
Maisam	10	13	0	0	0	0	0
Will	11	13	0	0	0	0	0
