season	baker	episode	tech_mean	tech	mean_star	star	mean_good	good	mean_bad	bad
13	Abdul	1	6.0	6	0.0	0	0.0	0	0.0	0
13	Abdul	2	8.5	11	0.0	0	0.0	0	0.0	0
13	Abdul	3	5.67	0	0.0	0	0.0	0	0.0	0
13	Abdul	4	5.75	6	0.0	0	0.0	0	0.0	0
13	Carole	1	8.0	8	0.0	0	0.0	0	0.0	0
13	Carole	2	6.0	4	0.0	0	0.0	0	0.5	1
13	Carole	3	6.67	8	0.0	0	0.0	0	0.67	1
13	Carole	4	7.5	10	0.0	0	0.0	0	0.75	1
13	Dawn	1	3.0	3	0.0	0	0.0	0	0.0	0
13	Dawn	2	6.0	9	0.0	0	0.0	0	0.0	0
13	Dawn	3	6.0	6	0.0	0	0.0	0	0.33	1
13	Dawn	4	5.75	5	0.0	0	0.25	1	0.25	0
13	James	1	12.0	12	0.0	0	0.0	0	0.0	0
13	James	2	7.0	2	0.0	0	0.5	1	0.0	0
13	James	3	5.67	3	0.0	0	0.33	0	0.0	0
13	James	4	6.25	8	0.0	0	0.25	0	0.25	1
13	Janusz	1	7.0	7	1.0	1	1.0	1	0.0	0
13	Janusz	2	6.5	6	0.5	0	0.5	0	0.0	0
13	Janusz	3	4.67	1	0.67	1	0.67	1	0.0	0
13	Janusz	4	5.25	7	0.5	0	0.75	1	0.0	0
13	Kevin	1	4.0	4	0.0	0	0.0	0	0.0	0
13	Kevin	2	6.0	8	0.0	0	0.0	0	0.0	0
13	Kevin	3	6.33	7	0.0	0	0.0	0	0.33	1
13	Kevin	4	5.75	4	0.0	0	0.0	0	0.25	0
13	Maisam	1	5.0	5	0.0	0	0.0	0	1.0	1
13	Maisam	2	6.0	7	0.0	0	0.0	0	1.0	1
13	Maisam	3	4.0	0	0.0	0	0.0	0	0.67	0
13	Maisam	4	3.0	0	0.0	0	0.0	0	0.5	0
13	Maxy	1	10.0	10	0.0	0	0.0	0	0.0	0
13	Maxy	2	7.5	5	0.5	1	0.5	1	0.0	0
13	Maxy	3	5.67	2	0.33	0	0.33	0	0.0	0
13	Maxy	4	4.5	1	0.5	1	0.5	1	0.0	0
13	Rebs	1	11.0	11	0.0	0	0.0	0	1.0	1
13	Rebs	2	6.0	1	0.0	0	0.0	0	1.0	1
13	Rebs	3	4.0	0	0.0	0	0.0	0	0.67	0
13	Rebs	4	5.25	9	0.0	0	0.0	0	0.75	1
13	Sandro	1	2.0	2	0.0	0	1.0	1	0.0	0
13	Sandro	2	2.5	3	0.0	0	0.5	0	0.0	0
13	Sandro	3	3.0	4	0.0	0	0.67	1	0.0	0
13	Sandro	4	3.0	3	0.0	0	0.75	1	0.0	0
13	Syabira	1	1.0	1	0.0	0	1.0	1	0.0	0
13	Syabira	2	5.5	10	0.0	0	1.0	1	0.0	0
13	Syabira	3	5.33	5	0.0	0	1.0	1	0.0	0
13	Syabira	4	4.5	2	0.0	0	0.75	0	0.0	0
13	Will	1	9.0	9	0.0	0	0.0	0	1.0	1
13	Will	2	4.5	0	0.0	0	0.0	0	0.5	0
13	Will	3	3.0	0	0.0	0	0.0	0	0.33	0
13	Will	4	2.25	0	0.0	0	0.0	0	0.25	0
