season	baker	episode	place	tech_mean	tech	mean_star	star	mean_good	good	mean_bad	bad	preds	bottom	finalist	top3	fifthseventh	thirdforth
11	Dave	6	0	0.0	0.6363636363636365	0.6666666666666666	0.0	1.0	1.0	0.0	0.0	0	3.07	47.25	72.12	8.28	16.54
11	Hermine	6	0	0.7091136079900126	0.7272727272727273	0.0	0.0	0.6666666666666666	0.0	0.0	1.0	1	7.79	10.66	42.67	31.29	18.24
11	Laura	6	0	0.8956834532374102	1.0	0.6666666666666666	0.0	0.4444444444444444	0.0	0.0	1.0	1	4.12	12.09	51.86	25.21	18.8
11	Linda	6	0	0.6357012750455373	0.0	0.0	0.0	0.0	0.0	0.7777777777777777	0.0	4	70.12	0.18	0.55	26.49	2.83
11	Loriea	6	1	0.10783410138248847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4	55.79	5.16	11.55	22.62	10.04
11	Lottie	6	0	0.8362107127047368	0.5454545454545454	0.6666666666666666	1.0	0.4444444444444444	1.0	0.0	0.0	2	4.65	10.42	30.14	27.8	37.41
11	Mak	6	2	0.1257861635220126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4	56.5	4.94	11.12	22.57	9.81
11	Marc	6	0	1.0	0.9090909090909092	0.6666666666666666	0.0	1.0	1.0	0.7777777777777777	0.0	2	3.53	9.22	29.98	16.34	50.15
11	Mark	6	0	0.45324532453245325	0.8181818181818182	0.6666666666666666	0.0	0.6666666666666666	0.0	0.7777777777777777	1.0	3	7.1	7.71	26.66	45.88	20.36
11	Peter	6	0	0.3333333333333333	0.4545454545454546	0.6666666666666666	0.0	0.6666666666666666	0.0	0.0	0.0	1	8.97	15.83	59.2	13.45	18.39
11	Rowan	6	3	0.5374037403740373	0.0	0.0	0.0	0.0	0.0	0.7777777777777777	0.0	4	68.26	0.24	0.7	27.68	3.35
11	Sura	6	4	0.3333333333333333	0.0	0.0	0.0	0.6666666666666666	0.0	0.0	0.0	4	41.15	8.07	25.72	19.28	13.86
