season	baker	episode	place	tech_mean	tech	mean_star	star	mean_good	good	mean_bad	bad	preds	bottom	finalist	top3	fifthseventh	thirdforth
11	Dave	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	21.38	15.92	35.28	24.2	19.14
11	Hermine	1	0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2	7.17	16.25	40.2	16.46	36.17
11	Laura	1	0	0.55	0.55	0.0	0.0	0.0	0.0	0.0	0.0	4	38.11	7.31	23.27	26.59	12.02
11	Linda	1	0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	4	81.3	1.41	6.03	7.61	5.06
11	Loriea	1	1	0.8370370370370371	0.8370370370370371	0.0	0.0	0.0	0.0	1.0	1.0	4	76.82	2.02	7.64	8.9	6.64
11	Lottie	1	0	0.45	0.45	0.0	0.0	0.0	0.0	0.0	0.0	4	34.88	8.47	25.13	26.78	13.21
11	Mak	1	2	0.7083333333333334	0.7083333333333334	0.0	0.0	0.0	0.0	0.0	0.0	4	43.32	5.73	20.45	25.98	10.25
11	Marc	1	0	0.9090909090909092	0.9090909090909092	0.0	0.0	0.0	0.0	1.0	1.0	4	78.94	1.73	6.88	8.28	5.9
11	Mark	1	0	0.6363636363636365	0.6363636363636365	0.0	0.0	0.0	0.0	0.0	0.0	4	40.94	6.41	21.71	26.31	11.04
11	Peter	1	0	0.27272727272727276	0.27272727272727276	1.0	1.0	1.0	1.0	0.0	0.0	1	27.06	12.43	44.32	13.44	15.19
11	Rowan	1	3	0.36363636363636365	0.36363636363636365	0.0	0.0	0.0	0.0	0.0	0.0	4	32.15	9.57	26.79	26.79	14.26
11	Sura	1	4	0.18181818181818182	0.18181818181818182	0.0	0.0	1.0	1.0	0.0	0.0	2	7.26	17.62	40.77	15.83	36.14
