season	baker	episode	place	tech_mean	tech	mean_star	star	mean_good	good	mean_bad	bad	preds	bottom	finalist	top3	fifthseventh	thirdforth
11	Dave	7	0	0.0	1.0	1.0	0.0	0.8888888888888888	0.0	0.0	0.0	1	5.79	21.24	57.14	12.44	24.63
11	Hermine	7	0	0.5555555555555556	0.5444444444444444	1.0	1.0	0.8888888888888888	1.0	0.0	0.0	1	4.55	20.61	79.17	4.75	11.53
11	Laura	7	0	0.8927680798004988	0.8181818181818182	1.0	0.0	0.4444444444444444	0.0	0.7777777777777777	1.0	3	3.93	3.04	17.78	55.89	22.41
11	Linda	7	0	0.686151704940849	0.0	0.0	0.0	0.0	0.0	1.0	1.0	3	31.01	0.36	1.12	65.55	2.32
11	Loriea	7	1	0.09090909090909079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4	47.75	9.04	17.58	24.66	10.0
11	Lottie	7	0	0.8739726027397261	0.9090909090909092	1.0	0.0	0.4444444444444444	0.0	0.0	0.0	1	5.39	12.38	49.88	15.85	28.88
11	Mak	7	2	0.1261095806550352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4	47.53	8.76	17.12	25.43	9.92
11	Marc	7	0	1.0	0.7272727272727273	1.0	0.0	1.0	1.0	0.7777777777777777	0.0	1	7.99	15.82	50.87	13.99	27.15
11	Mark	7	0	0.36518046709129504	0.0	1.0	0.0	0.6111111111111112	0.0	0.7777777777777777	0.0	4	41.27	4.07	10.86	40.12	7.75
11	Peter	7	0	0.5555555555555556	0.6363636363636365	1.0	0.0	0.6111111111111112	0.0	0.0	0.0	1	6.73	16.07	53.99	15.67	23.61
11	Rowan	7	3	0.5555555555555556	0.0	0.0	0.0	0.0	0.0	0.7777777777777777	0.0	4	71.31	0.47	0.98	26.63	1.08
11	Sura	7	4	0.32190476190476186	0.0	0.0	0.0	0.6111111111111112	0.0	0.0	0.0	4	40.55	9.61	20.73	25.33	13.38
