season	baker	index	episode	tech_mean	tech_med	tech	place
12	Amanda	0	1	12	12	12	0
12	Amanda	0	2	8	8	4	0
12	Amanda	0	3	6.33	4	3	0
12	Amanda	0	4	6.75	6	8	0
12	Amanda	0	5	7	8	8	0
12	Amanda	0	6	6.67	6.5	5	0
12	Amanda	0	7	5.71	5	0	0
12	Chigs	0	1	11	11	11	0
12	Chigs	0	2	9	9	7	0
12	Chigs	0	3	8	7	6	0
12	Chigs	0	4	6.75	6.5	3	0
12	Chigs	0	5	5.8	6	2	0
12	Chigs	0	6	5.33	4.5	3	0
12	Chigs	0	7	5	3	3	0
12	Crystelle	0	1	8	8	8	0
12	Crystelle	0	2	9	9	10	0
12	Crystelle	0	3	9	9	9	0
12	Crystelle	0	4	8	8.5	5	0
12	Crystelle	0	5	7.8	8	7	0
12	Crystelle	0	6	6.83	7.5	2	0
12	Crystelle	0	7	6.43	7	4	0
12	Freya	0	1	2	2	2	0
12	Freya	0	2	2.5	2.5	3	0
12	Freya	0	3	3	3	4	0
12	Freya	0	4	3.75	3.5	6	0
12	Freya	0	5	4	4	5	0
12	Freya	0	6	3.33	3.5	0	0
12	Freya	0	7	2.86	3	0	0
12	George	0	1	3	3	3	0
12	George	0	2	5.5	5.5	8	0
12	George	0	3	6	7	7	0
12	George	0	4	6.25	7	7	0
12	George	0	5	6.2	7	6	0
12	George	0	6	6.17	6.5	6	0
12	George	0	7	6.14	6	6	0
12	Giuseppe	0	1	10	10	10	0
12	Giuseppe	0	2	6	6	2	0
12	Giuseppe	0	3	4.33	2	1	0
12	Giuseppe	0	4	4.25	3	4	0
12	Giuseppe	0	5	3.6	2	1	0
12	Giuseppe	0	6	3.67	3	4	0
12	Giuseppe	0	7	3.29	2	1	0
12	Jairzinho	0	1	9	9	9	0
12	Jairzinho	0	2	9	9	9	0
12	Jairzinho	0	3	6	9	0	0
12	Jairzinho	0	4	4.5	4.5	0	0
12	Jairzinho	0	5	3.6	0	0	0
12	Jairzinho	0	6	3	0	0	0
12	Jairzinho	0	7	2.57	0	0	0
12	Jürgen	0	1	6	6	6	0
12	Jürgen	0	2	3.5	3.5	1	0
12	Jürgen	0	3	4	5	5	0
12	Jürgen	0	4	3.25	3	1	0
12	Jürgen	0	5	3.4	4	4	0
12	Jürgen	0	6	3	2.5	1	0
12	Jürgen	0	7	2.86	2	2	0
12	Lizzie	0	1	4	4	4	0
12	Lizzie	0	2	5	5	6	0
12	Lizzie	0	3	4	4	2	0
12	Lizzie	0	4	3.5	3	2	0
12	Lizzie	0	5	3.4	3	3	0
12	Lizzie	0	6	4	3.5	7	0
12	Lizzie	0	7	4.14	4	5	0
12	Maggie	0	1	1	1	1	0
12	Maggie	0	2	3	3	5	0
12	Maggie	0	3	4.67	5	8	0
12	Maggie	0	4	5.75	6.5	9	0
12	Maggie	0	5	4.6	5	0	0
12	Maggie	0	6	3.83	3	0	0
12	Maggie	0	7	3.29	1	0	0
12	Rochica	0	1	7	7	7	0
12	Rochica	0	2	9	9	11	0
12	Rochica	0	3	9.33	10	10	0
12	Rochica	0	4	7	8.5	0	0
12	Rochica	0	5	5.6	7	0	0
12	Rochica	0	6	4.67	3.5	0	0
12	Rochica	0	7	4	0	0	0
12	Tom	0	1	5	5	5	0
12	Tom	0	2	2.5	2.5	0	0
12	Tom	0	3	1.67	0	0	0
12	Tom	0	4	1.25	0	0	0
12	Tom	0	5	1	0	0	0
12	Tom	0	6	0.83	0	0	0
12	Tom	0	7	0.71	0	0	0
