baker	key	season	place	deepbake_tier	deepbake_prediction	week_eliminated	deepbake_eliminated
Amanda	1	12	0	0	0	0	0
Chigs	2	12	0	0	0	0	0
Crystelle	3	12	0	0	0	0	0
Freya	4	12	0	0	0	0	0
George	5	12	0	0	0	0	0
Giuseppe	6	12	0	0	0	0	0
Jairzinho	7	12	0	0	0	0	0
Jürgen	8	12	0	0	0	0	0
Lizzie	9	12	0	0	0	0	0
Maggie	10	12	0	0	0	0	0
Rochica	11	12	0	0	0	0	0
Tom	12	12	0	0	0	0	0
