season	baker	episode	place	tech_mean	tech	mean_star	star	mean_good	good	mean_bad	bad	preds	bottom	finalist	top3	fifthseventh	thirdforth
10	Alice	10	0	0.8974358974358974	0.9166666666666666	0.8888888888888888	9.999999977795539e-08	0.8148148148148148	9.999999977795539e-08	0.3888888888888889	9.999999977795539e-08	1	0.0	7.01	99.96	0.02	0.02
10	Amelia	10	10	0.1111111111111111	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.3888888888888889	9.999999977795539e-08	4	98.65	0.0	0.01	1.3	0.04
10	Dan	10	12	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.3888888888888889	9.999999977795539e-08	4	99.25	0.0	0.0	0.72	0.03
10	David	10	0	0.5185185185185185	0.8333333333333334	9.999999977795539e-08	9.999999977795539e-08	0.9090909090909091	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0	0.32	64.76	97.46	1.86	0.36
10	Helena	10	8	0.8666666666666667	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.3888888888888889	9.999999977795539e-08	3	2.96	0.19	0.32	95.35	1.36
10	Henry	10	0	0.2666666666666667	9.999999977795539e-08	0.75	9.999999977795539e-08	0.6666666666666673	9.999999977795539e-08	0.8333333333333333	9.999999977795539e-08	3	5.99	0.16	0.17	69.47	24.37
10	Jamie	10	11	0.1111111111111111	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.6666666666666669	9.999999977795539e-08	4	97.91	0.0	0.0	2.03	0.06
10	Michael	10	0	0.9999999000000003	9.999999977795539e-08	0.8888888888888888	9.999999977795539e-08	0.6666666666666673	9.999999977795539e-08	0.8333333333333333	9.999999977795539e-08	2	0.0	1.65	1.9	21.23	76.87
10	Michelle	10	8	0.4285714285714285	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.3888888888888889	9.999999977795539e-08	4	83.49	0.03	0.05	16.11	0.36
10	Phil	10	9	0.3333333333333333	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.3888888888888889	9.999999977795539e-08	4	92.2	0.02	0.03	7.57	0.2
10	Priya	10	7	0.6666666666666669	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.8333333333333333	9.999999977795539e-08	3	16.76	0.02	0.03	81.43	1.79
10	Rosie	10	0	0.5666666666666668	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.5833333333333334	9.999999977795539e-08	0.9999999000000003	9.999999977795539e-08	2	0.88	0.04	0.04	27.05	72.03
10	Steph	10	0	0.7142857142857143	0.9999999000000003	0.9999999000000003	9.999999977795539e-08	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	1	0.0	12.09	99.97	0.02	0.01
