season	baker	episode	place	tech_mean	tech	mean_star	star	mean_good	good	mean_bad	bad	preds	bottom	finalist	top3	fifthseventh	thirdforth
10	Alice	1	0	0.33333333333333337	0.33333333333333337	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	3	26.72	11.2	29.7	28.09	15.49
10	Amelia	1	10	0.25	0.25	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	3	25.22	12.4	31.05	27.37	16.36
10	Dan	1	12	0.6666666666666667	0.6666666666666667	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	0.9999999000000003	4	67.75	3.04	10.82	11.41	10.02
10	David	1	0	0.75	0.75	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	4	34.7	6.6	23.72	30.2	11.38
10	Helena	1	8	0.9166666666666666	0.9166666666666666	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	4	37.93	5.26	21.6	30.56	9.91
10	Henry	1	0	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	3	20.65	16.84	36.22	23.45	19.68
10	Jamie	1	11	0.9999999000000003	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	0.9999999000000003	4	76.9	1.66	7.57	8.99	6.54
10	Michael	1	0	0.8333333333333334	0.8333333333333334	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	4	36.32	5.9	22.64	30.41	10.63
10	Michelle	1	8	0.4166666666666667	0.4166666666666667	0.9999999000000003	0.9999999000000003	0.9999999000000003	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	1	20.45	13.72	49.83	12.94	16.78
10	Phil	1	9	0.5833333333333334	0.5833333333333334	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	4	31.48	8.21	25.99	29.57	12.96
10	Priya	1	7	0.5	0.5	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	4	29.87	9.13	27.19	29.16	13.78
10	Rosie	1	0	0.08333333333333334	0.08333333333333334	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	3	22.27	15.25	34.3	25.14	18.3
10	Steph	1	0	0.16666666666666669	0.16666666666666669	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	2	8.69	18.25	41.83	13.74	35.74
