season	baker	episode	place	tech_mean	tech	mean_star	star	mean_good	good	mean_bad	bad	preds	bottom	finalist	top3	fifthseventh	thirdforth
10	Alice	3	0	0.1996007984031936	0.6666666666666667	1.0	0.0	0.7777777777777777	0.0	0.7777777777777777	1.0	3	14.23	15.89	32.85	32.6	20.33
10	Amelia	3	10	0.8888888888888888	1.0	0.0	0.0	0.0	0.0	1.0	1.0	4	60.22	1.02	3.68	19.95	16.15
10	Dan	3	12	0.04741379310344828	0.0	0.0	0.0	0.0	0.0	0.7777777777777777	0.0	4	76.14	2.88	6.48	9.94	7.44
10	David	3	0	0.23850574712643677	0.25	0.0	0.0	0.7777777777777777	0.0	0.0	0.0	1	11.45	21.28	49.46	19.42	19.67
10	Helena	3	8	1.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	3	27.08	4.91	17.03	37.27	18.62
10	Henry	3	0	0.0	0.16666666666666669	0.0	0.0	0.0	0.0	0.7777777777777777	1.0	3	31.44	5.18	10.88	32.73	24.95
10	Jamie	3	11	0.8888888888888888	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4	94.96	0.36	1.07	1.99	1.97
10	Michael	3	0	0.666666666666667	0.5833333333333334	1.0	1.0	0.7777777777777777	1.0	0.0	0.0	1	3.79	13.76	55.47	23.88	16.86
10	Michelle	3	8	0.5712250712250713	0.5	1.0	0.0	0.7777777777777777	0.0	0.0	0.0	1	7.12	22.25	63.07	15.91	13.9
10	Phil	3	9	0.666666666666667	0.9166666666666666	0.0	0.0	0.0	0.0	0.0	0.0	3	18.46	6.03	19.28	43.17	19.09
10	Priya	3	7	0.518888888888889	0.4166666666666667	0.0	0.0	0.0	0.0	0.0	0.0	3	25.89	8.54	23.17	31.06	19.88
10	Rosie	3	0	0.3333333333333333	0.8333333333333334	0.0	0.0	0.7777777777777777	0.0	0.0	0.0	1	10.49	17.13	43.86	23.9	21.74
10	Steph	3	0	0.3333333333333333	0.33333333333333337	0.0	0.0	1.0	1.0	0.0	0.0	1	6.77	20.06	59.34	21.01	12.89
