season	baker	episode	place	tech_mean	tech	mean_star	star	mean_good	good	mean_bad	bad	preds	bottom	finalist	top3	fifthseventh
10	Alice	5	0	0.6666666666666666	0.75	0.7777777777777777	9.999999977795539e-08	0.6111111111111112	9.999999977795539e-08	0.49999999999999994	9.999999977795539e-08	1	2.77	7.87	42.51	31.89
10	Amelia	5	11	0.3333333333333333	9.999999977795539e-08	0.7777777777777777	9.999999977795539e-08	0.6111111111111112	9.999999977795539e-08	0.49999999999999994	9.999999977795539e-08	4	62.24	7.7	14.27	12.32
10	Dan	5	13	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.49999999999999994	9.999999977795539e-08	4	75.81	2.48	4.56	11.46
10	David	5	0	0.4444444444444444	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	0.9166666666666666	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	1	0.5	19.83	66.96	15.85
10	Helena	5	0	0.9999999000000003	0.33333333333333337	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.49999999999999994	0.9999999000000003	3	18.58	0.63	2.98	54.79
10	Henry	5	0	0.07575757575757575	0.5	9.999999977795539e-08	9.999999977795539e-08	0.6111111111111112	0.9999999000000003	0.49999999999999994	9.999999977795539e-08	2	3.78	24.05	44.15	20.74
10	Jamie	5	12	0.3333333333333333	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	9.999999977795539e-08	4	94.77	0.17	0.32	3.22
10	Michael	5	0	0.9130434782608695	0.9166666666666666	0.9999999000000003	9.999999977795539e-08	0.8333333333333334	9.999999977795539e-08	0.49999999999999994	9.999999977795539e-08	1	0.95	6.72	54.57	25.65
10	Michelle	5	0	0.7962962962962963	0.8333333333333334	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.49999999999999994	0.9999999000000003	3	2.74	0.64	4.78	65.63
10	Phil	5	10	0.6666666666666666	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.49999999999999994	9.999999977795539e-08	4	88.12	0.58	1.19	6.88
10	Priya	5	0	0.7666666666666666	0.4166666666666667	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	0.9999999000000003	3	29.82	0.29	1.22	49.57
10	Rosie	5	0	0.4444444444444444	0.6666666666666667	9.999999977795539e-08	9.999999977795539e-08	0.6111111111111112	9.999999977795539e-08	0.49999999999999994	0.9999999000000003	2	2.02	2.63	17.64	32.46
10	Steph	5	0	0.1888888888888889	0.5833333333333334	0.9999999000000003	0.9999999000000003	0.9999999000000003	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	0	0.78	40.78	72.98	11.44
