season	baker	episode	place	tech_mean	tech	mean_star	star	mean_good	good	mean_bad	bad	preds	bottom	finalist	top3	fifthseventh	thirdforth
10	Alice	2	0	9.999999977795539e-08	0.08333333333333334	0.9999999000000003	0.9999999000000003	0.9999999000000003	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	1	2.44	33.97	85.52	9.98	2.06
10	Amelia	2	10	0.5555555555555556	0.75	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.8888888888888888	0.9999999000000003	4	53.31	1.59	5.19	23.65	17.86
10	Dan	2	12	0.25000000000000006	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.8888888888888888	9.999999977795539e-08	4	83.91	2.07	5.31	6.07	4.7
10	David	2	0	0.4166666666666668	0.16666666666666669	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	1	13.12	19.75	63.39	19.08	4.41
10	Helena	2	8	0.9999999000000003	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	3	28.36	2.15	8.86	38.01	24.77
10	Henry	2	0	0.1111111111111111	0.5	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	3	15.93	8.72	22.68	35.59	25.79
10	Jamie	2	11	0.9999999000000003	0.9166666666666666	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	0.9999999000000003	4	72.7	0.57	2.22	13.35	11.73
10	Michael	2	0	0.7888888888888889	0.33333333333333337	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	4	43.93	4.81	14.4	23.37	18.31
10	Michelle	2	8	0.6666666666666672	0.6666666666666667	0.9999999000000003	9.999999977795539e-08	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	1	6.86	17.85	57.71	14.36	21.07
10	Phil	2	9	0.3333333333333336	0.25	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	3	27.16	8.66	22.11	28.37	22.36
10	Priya	2	7	0.6666666666666672	0.5833333333333334	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	3	29.49	4.58	14.44	32.41	23.66
10	Rosie	2	0	0.1111111111111111	0.4166666666666667	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	1	7.76	21.75	65.8	21.07	5.37
10	Steph	2	0	0.5555555555555556	0.8333333333333334	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	2	7.41	10.84	33.4	20.94	38.25
