season	baker	episode	place	tech_mean	tech	mean_star	star	mean_good	good	mean_bad	bad	preds	bottom	finalist	top3	fifthseventh	thirdforth
10	Alice	1	0	0.33333333333333337	0.33333333333333337	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	3	26.83	11.04	29.53	27.16	16.49
10	Amelia	1	11	0.25	0.25	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	3	25.09	12.17	30.85	26.8	17.25
10	Dan	1	13	0.6666666666666667	0.6666666666666667	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	0.9999999000000003	4	69.33	3.08	11.18	9.46	10.03
10	David	1	0	0.75	0.75	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	4	36.15	6.66	23.59	27.53	12.73
10	Helena	1	0	0.9166666666666666	0.9166666666666666	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	4	40.06	5.36	21.44	27.2	11.29
10	Henry	1	0	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	3	20.58	16.46	35.96	23.57	19.9
10	Jamie	1	12	0.9999999000000003	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	0.9999999000000003	4	78.5	1.72	7.65	6.98	6.88
10	Michael	1	0	0.8333333333333334	0.8333333333333334	0.9999999000000003	0.9999999000000003	0.9999999000000003	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	1	23.31	11.86	51.69	10.4	14.59
10	Michelle	1	0	0.4166666666666667	0.4166666666666667	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	4	28.62	10.02	28.27	27.38	15.73
10	Phil	1	10	0.5833333333333334	0.5833333333333334	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	4	32.32	8.21	25.87	27.59	14.22
10	Priya	1	0	0.5	0.5	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	4	30.45	9.08	27.05	27.52	14.98
10	Rosie	1	0	0.08333333333333334	0.08333333333333334	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	2	10.34	18.14	42.24	14.66	32.76
10	Steph	1	0	0.16666666666666669	0.16666666666666669	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	2	10.28	18.76	42.61	14.36	32.75
