season	baker	index	episode	place	Starbaker	Bad	Good
8	Tom	92	9	8	0	0	0
8	Tom	92	10	8	0	0	0
8	Flo	93	1	9	0	0	1
8	Flo	93	2	9	0	1	0
8	Flo	93	3	9	0	1	0
8	Flo	93	4	9	0	0	0
8	Flo	93	5	9	0	0	0
8	Flo	93	6	9	0	0	0
8	Flo	93	7	9	0	0	0
8	Flo	93	8	9	0	0	0
8	Flo	93	9	9	0	0	0
8	Flo	93	10	9	0	0	0
8	Chris	94	1	10	0	1	0
8	Chris	94	2	10	0	1	0
8	Chris	94	3	10	0	0	0
8	Chris	94	4	10	0	0	0
8	Chris	94	5	10	0	0	0
8	Chris	94	6	10	0	0	0
8	Chris	94	7	10	0	0	0
8	Chris	94	8	10	0	0	0
8	Chris	94	9	10	0	0	0
8	Chris	94	10	10	0	0	0
8	Peter	95	1	11	0	1	0
8	Peter	95	2	11	0	0	0
8	Peter	95	3	11	0	0	0
8	Peter	95	4	11	0	0	0
8	Peter	95	5	11	0	0	0
8	Peter	95	6	11	0	0	0
8	Peter	95	7	11	0	0	0
8	Peter	95	8	11	0	0	0
8	Peter	95	9	11	0	0	0
8	Peter	95	10	11	0	0	0
9	Rahul	96	1	1	0	0	0
9	Rahul	96	2	1	1	0	1
9	Rahul	96	3	1	1	0	1
9	Rahul	96	4	1	0	0	1
9	Rahul	96	5	1	0	0	1
9	Rahul	96	6	1	0	0	1
9	Rahul	96	7	1	0	0	1
9	Rahul	96	8	1	0	1	0
9	Rahul	96	9	1	0	1	0
9	Rahul	96	10	1	0	0	0
9	Kim-Joy	97	1	2	0	0	0
9	Kim-Joy	97	2	2	0	0	0
9	Kim-Joy	97	3	2	0	0	0
9	Kim-Joy	97	4	2	0	0	0
9	Kim-Joy	97	5	2	1	0	1
9	Kim-Joy	97	6	2	0	0	0
9	Kim-Joy	97	7	2	1	0	1
9	Kim-Joy	97	8	2	0	1	0
9	Kim-Joy	97	9	2	0	0	1
9	Kim-Joy	97	10	2	0	0	0
9	Ruby	98	1	2	0	1	0
9	Ruby	98	2	2	0	0	0
9	Ruby	98	3	2	0	0	0
9	Ruby	98	4	2	0	0	0
9	Ruby	98	5	2	0	0	0
9	Ruby	98	6	2	0	0	1
9	Ruby	98	7	2	0	1	0
9	Ruby	98	8	2	1	0	1
9	Ruby	98	9	2	1	0	1
9	Ruby	98	10	2	0	0	0
9	Briony	99	1	3	0	0	1
9	Briony	99	2	3	0	1	0
9	Briony	99	3	3	0	1	0
9	Briony	99	4	3	0	1	0
9	Briony	99	5	3	0	1	0
9	Briony	99	6	3	1	0	1
9	Briony	99	7	3	0	0	0
9	Briony	99	8	3	0	0	1
9	Briony	99	9	3	0	1	0
9	Briony	99	10	3	0	0	0
9	Manon	100	1	4	1	0	1
9	Manon	100	2	4	0	0	0
9	Manon	100	3	4	0	0	0
9	Manon	100	4	4	0	0	0
9	Manon	100	5	4	0	0	0
9	Manon	100	6	4	0	1	0
9	Manon	100	7	4	0	0	0
9	Manon	100	8	4	0	1	0
9	Manon	100	9	4	0	0	0
9	Manon	100	10	4	0	0	0
9	Jon	101	1	5	0	0	0
9	Jon	101	2	5	0	0	1
9	Jon	101	3	5	0	0	0
9	Jon	101	4	5	0	0	1
9	Jon	101	5	5	0	1	0
9	Jon	101	6	5	0	0	0
9	Jon	101	7	5	0	1	0
9	Jon	101	8	5	0	0	0
9	Jon	101	9	5	0	0	0
9	Jon	101	10	5	0	0	0
9	Dan	102	1	6	0	0	0
9	Dan	102	2	6	0	0	1
9	Dan	102	3	6	0	0	1
9	Dan	102	4	6	1	0	1
9	Dan	102	5	6	0	0	0
9	Dan	102	6	6	0	1	0
9	Dan	102	7	6	0	0	0
9	Dan	102	8	6	0	0	0
9	Dan	102	9	6	0	0	0
9	Dan	102	10	6	0	0	0
9	Karen	103	1	7	0	0	0
9	Karen	103	2	7	0	0	0
9	Karen	103	3	7	0	0	0
9	Karen	103	4	7	0	1	0
9	Karen	103	5	7	0	1	0
9	Karen	103	6	7	0	0	0
9	Karen	103	7	7	0	0	0
9	Karen	103	8	7	0	0	0
9	Karen	103	9	7	0	0	0
9	Karen	103	10	7	0	0	0
9	Terry	104	1	8	0	1	0
9	Terry	104	2	8	0	1	0
9	Terry	104	3	8	0	0	0
9	Terry	104	4	8	0	0	0
9	Terry	104	5	8	0	1	0
9	Terry	104	6	8	0	0	0
9	Terry	104	7	8	0	0	0
9	Terry	104	8	8	0	0	0
9	Terry	104	9	8	0	0	0
9	Terry	104	10	8	0	0	0
9	Antony	105	1	9	0	0	0
9	Antony	105	2	9	0	0	0
9	Antony	105	3	9	0	1	0
9	Antony	105	4	9	0	0	0
9	Antony	105	5	9	0	0	0
9	Antony	105	6	9	0	0	0
9	Antony	105	7	9	0	0	0
9	Antony	105	8	9	0	0	0
9	Antony	105	9	9	0	0	0
9	Antony	105	10	9	0	0	0
9	Luke	106	1	10	0	0	0
9	Luke	106	2	10	0	1	0
9	Luke	106	3	10	0	0	0
9	Luke	106	4	10	0	0	0
9	Luke	106	5	10	0	0	0
9	Luke	106	6	10	0	0	0
9	Luke	106	7	10	0	0	0
9	Luke	106	8	10	0	0	0
9	Luke	106	9	10	0	0	0
9	Luke	106	10	10	0	0	0
9	Imelda	107	1	11	0	1	0
9	Imelda	107	2	11	0	0	0
9	Imelda	107	3	11	0	0	0
9	Imelda	107	4	11	0	0	0
9	Imelda	107	5	11	0	0	0
9	Imelda	107	6	11	0	0	0
9	Imelda	107	7	11	0	0	0
9	Imelda	107	8	11	0	0	0
9	Imelda	107	9	11	0	0	0
9	Imelda	107	10	11	0	0	0
