season	baker	episode	place	tech_mean	tech	mean_star	star	mean_good	good	mean_bad	bad	preds	bottom	finalist	top3
10	Alice	2	0	9.999999977795539e-08	0.08333333333333334	0.9999999000000003	0.9999999000000003	0.9999999000000003	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	0	0.0	92.81	98.57
10	Amelia	2	0	0.5555555555555556	0.75	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.8888888888888888	0.9999999000000003	4	56.7	0.0	6.19
10	Dan	2	13	0.25000000000000006	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.8888888888888888	9.999999977795539e-08	4	99.72	0.03	0.15
10	David	2	0	0.4166666666666668	0.16666666666666669	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	1	2.76	10.38	87.98
10	Helena	2	0	0.9999999000000003	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	4	60.48	0.02	10.11
10	Henry	2	0	0.1111111111111111	0.5	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	3	1.03	0.03	1.75
10	Jamie	2	12	0.9999999000000003	0.9166666666666666	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	0.9999999000000003	4	54.5	0.0	0.33
10	Michael	2	0	0.7888888888888889	0.33333333333333337	0.9999999000000003	9.999999977795539e-08	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	1	1.43	37.31	90.88
10	Michelle	2	0	0.6666666666666672	0.6666666666666667	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	3	22.47	0.04	12.63
10	Phil	2	0	0.3333333333333336	0.25	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	3	16.0	0.29	3.36
10	Priya	2	0	0.6666666666666672	0.5833333333333334	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	3	22.67	0.06	12.11
10	Rosie	2	0	0.1111111111111111	0.4166666666666667	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	2	0.0	18.76	48.85
10	Steph	2	0	0.5555555555555556	0.8333333333333334	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	2	0.07	14.94	44.48
