season	baker	episode	place	tech_mean	tech	mean_star	star	mean_good	good	mean_bad	bad	preds	bottom	finalist	top3	fifthseventh	thirdforth
10	Alice	7	0	0.75	0.9999999000000003	0.7777777777777777	9.999999977795539e-08	0.6111111111111112	9.999999977795539e-08	0.3888888888888889	9.999999977795539e-08	1	0.49	10.79	51.22	10.46	37.84
10	Amelia	7	10	0.2222222222222222	9.999999977795539e-08	0.7777777777777777	9.999999977795539e-08	0.6111111111111112	9.999999977795539e-08	0.3888888888888889	9.999999977795539e-08	3	25.85	8.53	23.61	37.33	13.21
10	Dan	7	12	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.3888888888888889	9.999999977795539e-08	4	74.64	1.7	3.75	17.86	3.75
10	David	7	0	0.48062015503875954	0.6666666666666667	9.999999977795539e-08	9.999999977795539e-08	0.9159420289855073	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	0	0.96	35.21	67.24	3.18	28.63
10	Helena	7	8	0.9166666666666667	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.3888888888888889	9.999999977795539e-08	3	32.43	0.8	2.55	60.81	4.22
10	Henry	7	0	0.10251798561151079	0.75	0.7777777777777777	0.9999999000000003	0.7777777777777777	0.9999999000000003	0.6666666666666673	9.999999977795539e-08	1	0.61	23.46	76.49	2.46	20.44
10	Jamie	7	11	0.2222222222222222	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.6666666666666673	9.999999977795539e-08	4	79.39	0.43	1.04	18.05	1.52
10	Michael	7	0	0.9999999000000003	0.9166666666666666	0.9181286549707602	9.999999977795539e-08	0.7777777777777777	9.999999977795539e-08	0.9999999000000003	0.9999999000000003	3	0.22	3.29	27.58	43.22	28.98
10	Michelle	7	8	0.6666666666666666	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.3888888888888889	9.999999977795539e-08	3	44.45	1.07	2.99	48.2	4.36
10	Phil	7	9	0.3333333333333336	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.3888888888888889	9.999999977795539e-08	4	64.28	1.33	3.18	28.76	3.78
10	Priya	7	7	0.8196881091617934	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	9.999999977795539e-08	4	60.81	0.08	0.27	38.17	0.76
10	Rosie	7	0	0.6666666666666666	0.5833333333333334	9.999999977795539e-08	9.999999977795539e-08	0.6111111111111112	9.999999977795539e-08	0.9999999000000003	0.9999999000000003	3	4.08	1.53	8.75	65.9	21.27
10	Steph	7	0	0.41666666666666663	0.8333333333333334	0.9999999000000003	9.999999977795539e-08	0.9999999000000003	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	1	0.17	39.53	83.19	1.42	15.23
