season	baker	episode	place	tech_mean	tech	mean_star	star	mean_good	good	mean_bad	bad	preds	bottom	finalist	top3	fifthseventh	thirdforth
10	Alice	1	0	0.33333333333333337	0.33333333333333337	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	1	21.24	19.81	47.88	19.79	11.09
10	Amelia	1	10	0.25	0.25	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	4	26.98	16.78	38.69	21.77	12.57
10	Dan	1	12	0.6666666666666667	0.6666666666666667	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	0.9999999000000003	4	58.25	1.68	4.22	30.57	6.96
10	David	1	0	0.75	0.75	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	1	5.17	25.77	82.39	8.37	4.07
10	Helena	1	8	0.9166666666666666	0.9166666666666666	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	1	2.71	24.68	89.53	5.31	2.44
10	Henry	1	0	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	4	44.27	8.35	17.56	22.53	15.63
10	Jamie	1	11	0.9999999000000003	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	0.9999999000000003	4	36.16	6.76	20.73	35.91	7.2
10	Michael	1	0	0.8333333333333334	0.8333333333333334	0.9999999000000003	0.9999999000000003	0.9999999000000003	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	1	0.11	26.41	98.44	0.7	0.75
10	Michelle	1	8	0.4166666666666667	0.4166666666666667	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	1	16.45	22.25	56.65	17.4	9.51
10	Phil	1	9	0.5833333333333334	0.5833333333333334	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	1	9.47	25.18	71.53	12.54	6.45
10	Priya	1	7	0.5	0.5	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	1	12.56	24.05	64.57	14.95	7.92
10	Rosie	1	0	0.08333333333333334	0.08333333333333334	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	3	20.28	12.63	24.08	28.11	27.53
10	Steph	1	0	0.16666666666666669	0.16666666666666669	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	3	16.11	16.96	33.5	25.44	24.94
