season	baker	episode	place	tech_mean	tech	mean_star	star	mean_good	good	mean_bad	bad	preds	bottom	finalist	top3
10	Alice	4	0	0.38888888888888895	0.8333333333333334	0.8333333333333333	9.999999977795539e-08	0.6666666666666672	9.999999977795539e-08	0.6666666666666666	9.999999977795539e-08	3	3.85	18.04	38.32
10	Amelia	4	11	0.6111111111111112	9.999999977795539e-08	0.8333333333333333	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.6666666666666666	9.999999977795539e-08	4	82.24	2.92	5.3
10	Dan	4	13	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.6666666666666666	9.999999977795539e-08	4	78.05	2.97	5.1
10	David	4	0	0.20370370370370378	0.33333333333333337	9.999999977795539e-08	9.999999977795539e-08	0.8888888888888888	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	1	2.74	12.89	63.51
10	Helena	4	0	0.9999999000000003	0.9166666666666666	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	3	3.6	4.28	12.19
10	Henry	4	0	0.06060606060606061	0.4166666666666667	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.6666666666666666	9.999999977795539e-08	3	30.67	5.41	10.47
10	Jamie	4	12	0.6111111111111112	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.9999999000000003	9.999999977795539e-08	4	95.67	0.32	0.53
10	Michael	4	0	0.8888888888888888	0.75	0.9999999000000003	9.999999977795539e-08	0.8888888888888888	9.999999977795539e-08	0.6666666666666666	0.9999999000000003	3	16.27	14.33	21.27
10	Michelle	4	0	0.6111111111111112	0.5833333333333334	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	3	7.99	7.77	19.05
10	Phil	4	10	0.7666666666666666	0.6666666666666667	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.6666666666666666	0.9999999000000003	3	36.6	1.41	2.29
10	Priya	4	0	0.8888888888888888	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	0.6666666666666666	0.9999999000000003	3	13.56	0.99	1.76
10	Rosie	4	0	0.3333333333333335	0.5	9.999999977795539e-08	9.999999977795539e-08	0.6666666666666672	9.999999977795539e-08	9.999999977795539e-08	9.999999977795539e-08	2	7.92	23.24	42.95
10	Steph	4	0	0.2333333333333334	0.25	0.8333333333333333	0.9999999000000003	0.9999999000000003	0.9999999000000003	9.999999977795539e-08	9.999999977795539e-08	1	1.01	7.19	74.83
