season	baker	episode	place	tech_mean	tech	mean_star	star	mean_good	good	mean_bad	bad	preds	bottom	finalist	top3	fifthseventh	thirdforth
10	Alice	1	0	0.33333333333333337	0.33333333333333337	0.0	0.0	0.0	0.0	0.0	0.0	3	26.59	11.1	30.45	27.28	15.69
10	Amelia	1	10	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.0	3	24.89	12.34	31.81	26.79	16.51
10	Dan	1	12	0.6666666666666667	0.6666666666666667	0.0	0.0	0.0	0.0	1.0	1.0	4	67.87	3.09	11.16	11.1	9.87
10	David	1	0	0.75	0.75	0.0	0.0	0.0	0.0	0.0	0.0	4	35.6	6.44	24.46	28.17	11.77
10	Helena	1	8	0.9166666666666666	0.9166666666666666	0.0	0.0	0.0	0.0	0.0	0.0	4	39.34	5.11	22.32	28.03	10.31
10	Henry	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	20.14	16.99	36.84	23.6	19.42
10	Jamie	1	11	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	4	77.22	1.61	7.61	8.59	6.58
10	Michael	1	0	0.8333333333333334	0.8333333333333334	0.0	0.0	0.0	0.0	0.0	0.0	4	37.47	5.74	23.37	28.13	11.03
10	Michelle	1	8	0.4166666666666667	0.4166666666666667	1.0	1.0	1.0	1.0	0.0	0.0	1	20.41	13.51	49.12	13.26	17.2
10	Phil	1	9	0.5833333333333334	0.5833333333333334	0.0	0.0	0.0	0.0	0.0	0.0	4	31.92	8.06	26.73	28.04	13.3
10	Priya	1	7	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	4	30.11	8.99	27.93	27.87	14.09
10	Rosie	1	0	0.08333333333333334	0.08333333333333334	0.0	0.0	0.0	0.0	0.0	0.0	3	21.67	15.32	34.95	25.09	18.29
10	Steph	1	0	0.16666666666666669	0.16666666666666669	0.0	0.0	1.0	1.0	0.0	0.0	2	9.42	18.59	43.52	14.07	32.98
